Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
FID4582,Mechanical,Air Diffuser (supply/return),Airflow too strong / weak,Localised to room,RMG > RH > 7 > Operating Theatre 11,,18/12/2021 7:30,18/12/2021 7:31,18/12/2021 7:33,18/12/2021 7:34,18/12/2021 7:42,18/12/2021 7:43,close the valve to 50 % from 100 %,,,,,,,"satha , low"
FID4581,Medical Equipment,Autoclave,Leaking,Localised to room,RMG > RH > 7 > CSSD,,18/12/2021 7:17,18/12/2021 7:18,18/12/2021 7:19,18/12/2021 7:38,18/12/2021 7:40,18/12/2021 7:44,cssd Autoclave 3 water  leaking from hose need to arrange the contrectar for replace the hose,,,,,,,"ilayaraja, medium"
FID4580,Mechanical,AHU / FCU / CU,Airflow too strong / weak,More than 1 room,RMG > RH > 9 > Nursing Stn B,,18/12/2021 3:12,18/12/2021 3:14,18/12/2021 3:14,18/12/2021 3:15,18/12/2021 3:19,18/12/2021 3:21,checked setting on BMS motor running in 45 Hz reduce to 30 Hz and setpoint increased from 16 degree to 19 degree . checked on site back to normal,,,,,,,"satha , low"
FID4578,Mechanical,Air Diffuser (supply/return),Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1319-1327,,17/12/2021 22:44,17/12/2021 22:45,17/12/2021 22:46,17/12/2021 22:46,17/12/2021 22:55,17/12/2021 22:57,change to manual mode running normally . DDC no signal to run . need to inform Honeywell.,,,,,,,"satha , low"
FID4572,Office and Furniture,Table,Misaligned / dangling,Localised to room,RMG > RH > 7 > Operating Theatre 10,,17/12/2021 17:52,18/12/2021 10:48,18/12/2021 10:48,18/12/2021 10:48,18/12/2021 10:49,18/12/2021 10:51,Fixed back the wheel,,,,,,,Hand table wheel come out-nazri-low
FID4570,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 12,,17/12/2021 17:33,18/12/2021 9:43,18/12/2021 9:43,18/12/2021 9:43,18/12/2021 9:45,18/12/2021 9:46,Adjusted the aircon temperature from 23c to 18c and damper from auto to 0% manual in bms system make it cool,,,,,,,Aircon make it cool-Su-low
FID4569,Plumbing & Sanitary,Basin / sink,No water,Affecting Public,RMG > RH > 7 > OR9&10 Scrub Rm,,17/12/2021 17:31,18/12/2021 10:43,18/12/2021 10:44,18/12/2021 10:44,18/12/2021 10:45,18/12/2021 10:47,"Checked on site, water coming out but, low pressure. Adjusted the valve, basin water back to normal",,,,,,,Scrub sink no water-nazri-low
FID4568,Plumbing & Sanitary,Bidet spray / Hose,Leaking,Localised to room,RMG > RH > 9 > Ward 917,,17/12/2021 17:29,18/12/2021 10:21,18/12/2021 10:24,18/12/2021 10:24,18/12/2021 10:25,18/12/2021 10:25,replaced new bidet spray,,,,,,,Bidet spray leaking -nazri-low
FID4566,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 12,,17/12/2021 16:06,17/12/2021 16:06,17/12/2021 16:06,17/12/2021 16:07,17/12/2021 16:07,17/12/2021 16:09,Adjusted the temperature setpoint from 23c to 18c in bms system make it cool. Heater automatically reduced from 65% to 14%.,,,,,,,Aircon make it cool-su-low
FID4565,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > Concierge,,17/12/2021 15:31,17/12/2021 15:42,17/12/2021 15:42,17/12/2021 15:42,17/12/2021 15:44,17/12/2021 15:48,Replaced new bulb 2 nos,,,,,,,Light fused -mani-low
FID4564,Electrical,Light Bulb,Misaligned / dangling,Localised to room,RMG > RH > 2 > Raffles Chinese Medicine Clinic,,17/12/2021 14:59,17/12/2021 15:00,17/12/2021 15:01,17/12/2021 15:01,17/12/2021 15:02,17/12/2021 15:06,Replaced new screw,,,,,,,Light fitting screw loose-mani-low
FID4563,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 13,,17/12/2021 14:24,17/12/2021 14:34,17/12/2021 14:34,17/12/2021 14:35,17/12/2021 14:35,17/12/2021 14:40,"Check on site ,Ahu 13-1 was on manual.,put back to auto mode..actuator upon checking not responding,.highlight to honeywell to follow up",,,,,,,"Aircon too cold whole ward, make it warm-Isyamudin-low"
FID4562,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Nursing Stn B,,17/12/2021 14:20,17/12/2021 15:28,17/12/2021 15:28,17/12/2021 15:36,17/12/2021 15:37,17/12/2021 15:38,vav tamber manually open,,,,,,,Aircon make it cool -Aru-low
FID4561,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1048,,17/12/2021 14:18,17/12/2021 14:20,17/12/2021 14:21,17/12/2021 14:21,17/12/2021 14:22,17/12/2021 14:23,Adjusted the vav 1-1-28 temperature setpoint from 24c to 22c and damper position from 5% manual to auto (56.3%) in bms system make it cool.,,,,,,,Aircon make it cool -Su-low
FID4559,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 2 > Skin & Aesthetics Consult Rm 6,,17/12/2021 14:04,17/12/2021 14:05,17/12/2021 14:05,17/12/2021 14:06,17/12/2021 14:07,17/12/2021 14:09,Adjusted vav 5-1-7 temperature setpoint from 22c to 24c and damper position from 50% manual to 30% in bms system make it warm.,,,,,,,"Aircon too cold, make it warm-Su-low"
FID4558,Plumbing & Sanitary,Urinal,Choked,Localised to room,RMG > RSC > 2 > Male Toilet,,17/12/2021 14:03,18/12/2021 11:07,18/12/2021 11:07,18/12/2021 11:07,18/12/2021 11:08,18/12/2021 11:08,Cleared the urinal choke,,,,,,,Urinal bowl choke-v.bala-low
FID4557,Building,Window,Unable to open or close properly,Localised to room,RMG > RH > 12 > RHS Female Toilet,,17/12/2021 14:01,17/12/2021 14:58,17/12/2021 15:41,17/12/2021 17:22,17/12/2021 17:23,17/12/2021 17:24,Put down the curtains,,,,,,,Window blind faulty - ming cai-low
FID4553,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > ICU Rm 708,,17/12/2021 12:39,17/12/2021 13:07,17/12/2021 13:07,17/12/2021 13:08,17/12/2021 13:58,17/12/2021 13:58,Manually close the room vav damper,,,,,,,"aircon to cold ,make it warm -aru-low"
FID4552,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RSC > 8 > ENT,,17/12/2021 11:40,18/12/2021 11:14,18/12/2021 11:15,18/12/2021 11:15,18/12/2021 11:16,18/12/2021 11:17,Need to purchase bulb. Will follow-up,,,,,,,Light fused-mani-low
FID4551,Mechanical,Auto Sliding Glass Door,Cannot Open or Close,Localised to room,RMG > RSC > 13 > Link Bridge,,17/12/2021 11:05,18/12/2021 11:18,18/12/2021 11:19,18/12/2021 11:19,18/12/2021 11:19,18/12/2021 11:21,Unable to rectify the door issue. Engaged entre contractor to check. Work done,,,,,,,Door slam very loud and EM lock not touching-a.bala-low
FID4550,Mechanical,Auto Sliding Glass Door,Other: EM lock not touching,Localised to room,RMG > RSC > 19 > Level 19,,17/12/2021 11:03,18/12/2021 10:57,18/12/2021 10:58,18/12/2021 10:58,18/12/2021 10:59,18/12/2021 11:03,"Adjusted the EM door alignment, EM lock working back to normal.",,,,,,,"Need to check alignment of the EM door, EM lock not touching-v.bala-low"
FID4549,Office and Furniture,Cabinet,Cannot open / close,Localised to room,RMG > RH > 11 > Room 1107 (QM),,17/12/2021 11:00,17/12/2021 11:02,17/12/2021 11:38,17/12/2021 11:39,17/12/2021 11:40,17/12/2021 13:08,Change a new cabinet,,,,,,,Top-hanging cabinet cannot lock-ming cai-low
FID4546,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,17/12/2021 10:34,18/12/2021 9:49,18/12/2021 9:49,18/12/2021 9:50,18/12/2021 9:50,18/12/2021 10:09,Replaced new cylinders,,,,,,,Need to replace 2 big CO2 cylinder-nazri-medium
FID4545,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 8,,17/12/2021 10:32,17/12/2021 10:44,17/12/2021 10:44,17/12/2021 10:44,17/12/2021 10:45,17/12/2021 10:48,Adjusted the temperature setpoint from 25c to 18c and heater from 100% manual to auto (0%) in bms system make it cool.,,,,,,,Aircon make it cool -Su-low
FID4544,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1358-1363,,17/12/2021 10:30,17/12/2021 10:35,17/12/2021 10:38,17/12/2021 10:38,17/12/2021 10:38,17/12/2021 10:43,Adjusted the vav number 1-2-15 damper position from 20% to 5% and vav 1-2-16 temperature setpoint from 24c to 26c and damper from 20% to 5% in bms system make it warm,,,,,,,Aircon make it warm -su-low
FID4543,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 12 > REMC Counter,,17/12/2021 10:29,17/12/2021 11:05,17/12/2021 11:09,17/12/2021 11:10,17/12/2021 11:10,17/12/2021 11:12,aircon make it cool  colling valve adjust 40 to 60,,,,,,,Aircon make it cool -Aru-low
FID4542,Building,Door Lock,Unable to open or close properly,Localised to room,RMG > RSC > 11 > Radiology,,17/12/2021 10:23,17/12/2021 12:49,17/12/2021 12:49,17/12/2021 13:02,17/12/2021 13:03,17/12/2021 15:05,open the lock,,,,,,,Door lock faulty -ming cai-low
FID4539,Electrical,Call System,Unserviceable,Localised to room,RMG > RH > 7 > ICU Rm 705,,17/12/2021 10:17,17/12/2021 10:37,17/12/2021 10:39,17/12/2021 10:40,17/12/2021 10:41,17/12/2021 10:44,call bell rreset back to normal,,,,,,,Call bell not ringing-a.bala-low
FID4537,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RSC > 16 > Eye Centre Consult Rm 1,,17/12/2021 10:15,17/12/2021 11:06,17/12/2021 11:07,17/12/2021 11:08,17/12/2021 11:09,17/12/2021 11:12,Adjusted VAV 16-2-4 temperature setpoint to 24c and damper position to 20% manual in bms system,,,,,,,Aircon make it warm-ilayaraja-low
FID4536,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 12 > RHS Male Toilet,,17/12/2021 10:09,17/12/2021 10:49,17/12/2021 10:51,17/12/2021 10:52,17/12/2021 10:53,17/12/2021 10:54,replaced new light bulb,,,,,,,Ceiling light fused-a.bala-low
FID4535,Office and Furniture,Safe Box,Cannot open / close,Localised to room,RMG > RH > 9 > Ward 980 - 986,,17/12/2021 10:06,17/12/2021 10:12,17/12/2021 11:52,17/12/2021 11:53,17/12/2021 11:56,17/12/2021 14:12,Cabinet drawer number lock cannot open. Used master key to open the cabinet drawer,,,,,,,Need to open patient safe drawer-v.bala-low
FID4533,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 7,,17/12/2021 9:47,17/12/2021 10:12,17/12/2021 10:12,17/12/2021 10:13,17/12/2021 10:13,17/12/2021 10:24,"then just put 'Suspect dimmer switch problem. When dim light, light flickering.",,,,,,,Light flickering -mani-low
FID4529,Mechanical,BMS / BAS,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 8,,17/12/2021 7:22,17/12/2021 7:26,17/12/2021 7:26,17/12/2021 7:39,17/12/2021 7:40,17/12/2021 7:42,adjusted setpoint fot OT 8 from 18 to 25 degree and active heater,,,,,,,Aircon make it warm to 24c for paeds case-ilayaraja-low
FID4528,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 9 > Nursing Stn B,,17/12/2021 7:18,17/12/2021 7:19,17/12/2021 7:22,17/12/2021 7:23,17/12/2021 7:25,17/12/2021 7:27,checked on BMS setpoint on 15 degree so increase setpoint to 16 degree,,,,,,,"Aircon make warm, very cool in all place -satha-low"
FID4527,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1319-1327 Nurse Station,,17/12/2021 1:35,17/12/2021 1:36,17/12/2021 1:37,17/12/2021 1:38,17/12/2021 1:39,17/12/2021 1:41,setpoint temperature is in auto 24 degrees and vav opening position only 20 % . but still patient need to warm so adjusted VAV position to 10 %.,,,,,,,Aircon make it warm -satha-low
FID4523,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1011,,16/12/2021 18:47,16/12/2021 18:48,16/12/2021 18:48,16/12/2021 18:49,16/12/2021 18:49,16/12/2021 18:55,adjusted the temperature setpoint form 24c to 30c and heater form auto to 100% manual in bms system,,,,,,,Aircon make it warm -mani-low
FID4518,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 852,,16/12/2021 16:09,16/12/2021 16:28,16/12/2021 17:08,16/12/2021 17:08,16/12/2021 17:08,16/12/2021 17:10,Check on-site ahu 8-1 actuator jam..highlighted honeywell to follow up.,,,,,,,Aircon make it cool-isyamudin-low
FID4513,Plumbing & Sanitary,Soap Dispenser,Other: FIx new,Localised to room,RMG > RH > 8 > Labour Ward Counter,,16/12/2021 14:58,16/12/2021 15:05,16/12/2021 15:06,16/12/2021 15:07,16/12/2021 15:09,16/12/2021 15:10,work completed,,,,,,,Need to remove old hand rub dispenser and install new one -v.bala-low
FID4512,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RSC > 10 > Heart Ctr Con Rm 5,,16/12/2021 14:57,16/12/2021 15:02,16/12/2021 15:02,16/12/2021 15:02,16/12/2021 15:03,16/12/2021 15:03,Adjusted VAV 10-1-17 temperature setpoint at 18c and damper from 85% manual to 95% manual in bms system make it cool slightly.,,,,,,,Aircon make it slightly cool-su-low
FID4511,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 10,,16/12/2021 14:56,16/12/2021 14:59,16/12/2021 14:59,16/12/2021 15:00,16/12/2021 15:00,16/12/2021 15:01,Adjusted the temperature setpoint from 23c to 26c and heater from auto to 100% manual in bms system,,,,,,,Aircon make it warm-su-low
FID4506,Plumbing & Sanitary,Tap,Leaking,Localised to room,RMG > RH > 7 > Clinical Lab,,16/12/2021 13:36,16/12/2021 13:47,16/12/2021 13:47,16/12/2021 13:48,16/12/2021 14:38,16/12/2021 17:45,Need to purchase new tap. Awaiting for parts.,,,,,,,Basin tap leaking-v.bala-low
FID4505,Electrical,Call System,Other: Keep ringing,Affecting Public,RMG > RH > 7 > OT,,16/12/2021 13:35,16/12/2021 13:36,16/12/2021 13:48,16/12/2021 13:48,16/12/2021 13:49,16/12/2021 15:11,replaced spare faceplate,,,,,,,Call bell keep ringing non-stop-mani-low
FID4504,Plumbing & Sanitary,Basin / sink,Leaking,Affecting Public,RMG > RH > 9 > Nursing Stn D,,16/12/2021 13:33,16/12/2021 13:35,16/12/2021 13:38,16/12/2021 14:40,16/12/2021 14:41,16/12/2021 15:14,onside checked no leaking,,,,,,,Water leaking from basin-v.bala-low
FID4503,Electrical,Call System,Other: Keep ringing,Localised to room,RMG > RH > 7 > Day Surgery,,16/12/2021 13:31,16/12/2021 13:36,16/12/2021 13:50,16/12/2021 13:51,16/12/2021 13:51,16/12/2021 14:02,reset back to normal,,,,,,,Call bell keep ringing non stop-a.bala-low
FID4502,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 11 > Admin Office Corridor,,16/12/2021 13:16,16/12/2021 16:06,16/12/2021 16:06,16/12/2021 16:07,16/12/2021 16:07,16/12/2021 16:08,checked on site after adjust bms. ok,,,,,,,Aircon too cold-aru-low
FID4500,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 7 > Molecular Lab PCR Rm,,16/12/2021 12:07,16/12/2021 12:10,16/12/2021 12:11,16/12/2021 12:11,16/12/2021 12:12,16/12/2021 12:17,Replaced new bulb 5 nos,,,,,,,Need to replace fused bulb-mani-low
FID4499,Building,Wall,Other: Photo frame,Localised to room,RMG > RH > 8 > Labour Ward Nursery,,16/12/2021 11:03,16/12/2021 15:18,16/12/2021 15:19,16/12/2021 15:23,16/12/2021 16:22,16/12/2021 16:22,,,,,,,,Photo frame dropped-isyamudin-low
FID4496,Plumbing & Sanitary,WC / Squatting Pedestal,Water flowing non-stop,Localised to room,RMG > RH > 9 > Ward 980 - 986,,16/12/2021 10:44,16/12/2021 13:43,16/12/2021 13:44,16/12/2021 13:44,16/12/2021 13:45,16/12/2021 13:45,flushing head screw adjusted and settled,,,,,,,Toilet flush not working-v.bala-low
FID4494,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,16/12/2021 10:42,16/12/2021 11:16,16/12/2021 11:17,16/12/2021 11:18,16/12/2021 11:18,16/12/2021 11:21,Check station D temperature ok.cant find anyone give the feedback,,,,,,,Aircon make it warm-a.bala.low
FID4493,Plumbing & Sanitary,WC / Squatting Pedestal,Water flowing non-stop,Localised to room,RMG > RH > 13 > Ward 1358-1363 Nurse Station,,16/12/2021 10:40,16/12/2021 13:40,16/12/2021 13:40,16/12/2021 13:40,16/12/2021 13:41,16/12/2021 13:42,settled non stop flushing complaint,,,,,,,Toilet flushing non-stop-aru-low
FID4492,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 2 > Skin & Aesthetics Consult Rm 6,,16/12/2021 10:36,16/12/2021 11:07,16/12/2021 11:07,16/12/2021 11:25,16/12/2021 11:25,16/12/2021 11:26,Adjusted vav 5-1-7 temperature setpoint from 20c to 22c and damper from auto to 50% manual in bms system make it warm,,,,,,,"Aircon too cold, make it warm-Su-low"
FID4488,Building Security System,CCTV System,Disconnected,Localised to room,RMG > RH > 11 > Bed Lift Lobby,,16/12/2021 10:28,16/12/2021 10:31,16/12/2021 10:45,16/12/2021 10:45,16/12/2021 10:46,16/12/2021 11:00,Power Reset normal back,,,,,,,cctv camera not working mani -low
FID4486,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 1 (Endoscopy),,16/12/2021 9:55,16/12/2021 10:04,16/12/2021 10:05,16/12/2021 10:06,16/12/2021 10:07,16/12/2021 10:08,Adjusted the temperature setpoint and heater to 0% manual in bms system,,,,,,,"Aircon make it cool, now showing 24c-Su-low"
FID4485,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 7 > Operating Theatre 11,,16/12/2021 9:54,16/12/2021 10:00,16/12/2021 10:00,16/12/2021 10:01,16/12/2021 10:02,16/12/2021 10:03,Adjusted the temperature setpoint from 22c to 18c and heater from 100% manual to 0% manual in bms system,,,,,,,"Aircon make it cool to 18c, now showing 21c-Su-low"
FID4484,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > Nuclear Medicine Centre,,16/12/2021 9:52,16/12/2021 10:05,16/12/2021 10:10,16/12/2021 10:10,16/12/2021 10:11,16/12/2021 10:12,replace new bulb,,,,,1,,Toilet light fused-a.bala-low
FID4483,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 2,,16/12/2021 9:50,16/12/2021 9:56,16/12/2021 9:57,16/12/2021 9:57,16/12/2021 9:58,16/12/2021 9:59,Adjusted VAV 5-1-5 temperature setpoint from 22c to 20c and damper position from 21.2% (auto) to 70% manual in bms system,,,,,,,No aircon -Su-low
FID4482,Medical Equipment,Medical Gas,Other: medical gas O2 terminal leaking,Localised to room,RMG > RH > 8 > Ward 850,,16/12/2021 9:31,16/12/2021 9:31,16/12/2021 9:32,16/12/2021 9:32,16/12/2021 9:32,16/12/2021 11:09,ACA contractor replaced new oxygen terminal and o-rings,,16/12/2021 9:33,,,,,medical gas O2 terminal leaking-Shanmu-medium
FID4477,Mechanical,BMS / BAS,Noisy,More than 1 room,RMG > RH > 10 > Ward 1060,,16/12/2021 0:36,16/12/2021 0:40,16/12/2021 10:24,16/12/2021 10:24,16/12/2021 10:24,16/12/2021 10:26,Adjusted room vav temperature setpoint in bms system make it cool,,,,,,,Room aircon stuffy-v.bala-low
FID4476,Office and Furniture,Wall Clock,Misaligned / dangling,Localised to room,RMG > RH > 8 > Ward 851,,15/12/2021 21:57,15/12/2021 21:58,16/12/2021 10:21,16/12/2021 10:22,16/12/2021 10:22,16/12/2021 10:23,Removed the wall clock as per request,,,,,,,Request to remove wall clock-v.bala-low
FID4474,Plumbing & Sanitary,WC / Squatting Pedestal,Choked,Localised to room,RMG > RH > 7 > OT Female Changing Rm,,15/12/2021 20:04,15/12/2021 20:06,15/12/2021 20:07,15/12/2021 20:07,15/12/2021 20:08,15/12/2021 20:20,bowl choke unable to clear,,,,,,,Toilet bowl choke-ilayaraja-medium
FID4472,Building,Door Stopper,Unable to open or close properly,Localised to room,RMG > RH > 10 > Ward 1063,,15/12/2021 18:14,15/12/2021 18:21,15/12/2021 18:30,15/12/2021 18:34,15/12/2021 18:34,15/12/2021 18:36,screw loose tighten back to normal .,,,,,,,Need to fix door stopper-ilayaraja-low
FID4470,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 12 > Women Centre,,15/12/2021 18:08,15/12/2021 18:09,15/12/2021 18:20,15/12/2021 18:24,15/12/2021 18:25,15/12/2021 18:26,replaced new bulb 840/36W with starter.,,,,,,,Light flickering-Senthil-low
FID4466,Plumbing & Sanitary,Shower Fittings,Leaking,Localised to room,RMG > RH > 10 > Ward 1007,,15/12/2021 15:33,15/12/2021 15:55,15/12/2021 15:55,15/12/2021 15:56,15/12/2021 15:56,15/12/2021 15:59,Close the valve,,,,,,,Shower head water leaking-Ming cai-low
FID4464,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 11 > Office Pantry,,15/12/2021 14:42,15/12/2021 14:42,15/12/2021 15:07,15/12/2021 15:08,15/12/2021 15:09,15/12/2021 15:13,Replaced new bulb,,,,,,,Need to change light bulb-mani-low
FID4463,Mechanical,AHU / FCU / CU,Tripped / Short-Circuit / Overloaded,More than 1 room,RMG > RH > 11 > Facilities Dept.,,15/12/2021 14:32,15/12/2021 14:32,15/12/2021 14:33,15/12/2021 14:33,15/12/2021 14:33,15/12/2021 16:00,checked on site airflow  normal . Ahu running normal. no trip. cooling valve not control by BMS in auto mode. inform Honeywell to check .,,,,,,,"Aircon very warm, AHU 11,2 not working -satha-low"
FID4460,Plumbing & Sanitary,Basin / sink,Choked,Affecting Public,RMG > RH > 7 > Day Surgery,,15/12/2021 13:19,15/12/2021 14:46,15/12/2021 14:46,15/12/2021 14:46,15/12/2021 14:47,15/12/2021 14:47,Cleared the basin choke,,,,,,,Basin choke -nazri-low
FID4458,Electrical,Call System,Other: Alarm,Localised to room,RMG > RH > 7 > OT,,15/12/2021 12:02,15/12/2021 12:06,15/12/2021 12:12,15/12/2021 12:12,15/12/2021 12:13,15/12/2021 12:20,Reset the call bell back to normal.,,,,,,,Call bell keep alarming -mani-low
FID4457,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1076 -1079 (4 Bed),,15/12/2021 11:59,15/12/2021 12:02,15/12/2021 12:03,15/12/2021 12:03,15/12/2021 12:04,15/12/2021 12:08,Adjusted VAV 1-2-3 temperature setpoint from 20c to 24c in bms system make it warm. Damper automatically close from 90% to 20%.,,,,,,,Aircon make it warm -su-low
FID4456,Medical Equipment,Medical Gas,Other: CO2 cylinder,Localised to room,RMG > RH > 7 > OT,,15/12/2021 11:47,15/12/2021 11:52,15/12/2021 12:09,15/12/2021 12:10,15/12/2021 12:10,15/12/2021 12:11,delivered cylinder,,,,,,,Need to replace 2 big CO2 cylinder -mingcai-medium
