Fault 2021-12-22 19:37:09,,,,,,,,,,,,,,,,,,,,,
,Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
,FID4496,Plumbing & Sanitary,WC / Squatting Pedestal,Water flowing non-stop,Localised to room,RMG > RH > 9 > Ward 980 - 986,,2021-12-16 10:44:16,2021-12-16 13:43:48,2021-12-16 13:44:11,2021-12-16 13:44:47,2021-12-16 13:45:10,2021-12-16 13:45:47,flushing head screw adjusted and settled,,,,,,,Toilet flush not working-v.bala-low
,FID4494,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,2021-12-16 10:42:57,2021-12-16 11:16:59,2021-12-16 11:17:49,2021-12-16 11:18:12,2021-12-16 11:18:37,2021-12-16 11:21:06,Check station D temperature ok.cant find anyone give the feedback,,,,,,,Aircon make it warm-a.bala.low
,FID4493,Plumbing & Sanitary,WC / Squatting Pedestal,Water flowing non-stop,Localised to room,RMG > RH > 13 > Ward 1358-1363 Nurse Station,,2021-12-16 10:40:39,2021-12-16 13:40:12,2021-12-16 13:40:36,2021-12-16 13:40:58,2021-12-16 13:41:38,2021-12-16 13:42:34,settled non stop flushing complaint,,,,,,,Toilet flushing non-stop-aru-low
,FID4492,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 2 > Skin & Aesthetics Consult Rm 6,,2021-12-16 10:36:53,2021-12-16 11:07:24,2021-12-16 11:07:49,2021-12-16 11:25:30,2021-12-16 11:25:53,2021-12-16 11:26:47,Adjusted vav 5-1-7 temperature setpoint from 20c to 22c and damper from auto to 50% manual in bms system make it warm,,,,,,,"Aircon too cold, make it warm-Su-low"
,FID4488,Building Security System,CCTV System,Disconnected,Localised to room,RMG > RH > 11 > Bed Lift Lobby,,2021-12-16 10:28:26,2021-12-16 10:31:15,2021-12-16 10:45:18,2021-12-16 10:45:45,2021-12-16 10:46:10,2021-12-16 11:00:18,Power Reset normal back,,,,,,,cctv camera not working mani -low
,FID4486,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 1 (Endoscopy),,2021-12-16 09:55:59,2021-12-16 10:04:53,2021-12-16 10:05:42,2021-12-16 10:06:43,2021-12-16 10:07:40,2021-12-16 10:08:28,Adjusted the temperature setpoint and heater to 0% manual in bms system,,,,,,,"Aircon make it cool, now showing 24c-Su-low"
,FID4485,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 7 > Operating Theatre 11,,2021-12-16 09:54:53,2021-12-16 10:00:25,2021-12-16 10:00:52,2021-12-16 10:01:17,2021-12-16 10:02:19,2021-12-16 10:03:04,Adjusted the temperature setpoint from 22c to 18c and heater from 100% manual to 0% manual in bms system,,,,,,,"Aircon make it cool to 18c, now showing 21c-Su-low"
,FID4484,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > Nuclear Medicine Centre,,2021-12-16 09:52:11,2021-12-16 10:05:06,2021-12-16 10:10:31,2021-12-16 10:10:55,2021-12-16 10:11:34,2021-12-16 10:12:10,replace new bulb,,,,,1,,Toilet light fused-a.bala-low
,FID4483,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 2,,2021-12-16 09:50:21,2021-12-16 09:56:55,2021-12-16 09:57:20,2021-12-16 09:57:43,2021-12-16 09:58:08,2021-12-16 09:59:09,Adjusted VAV 5-1-5 temperature setpoint from 22c to 20c and damper position from 21.2% (auto) to 70% manual in bms system,,,,,,,No aircon -Su-low
,FID4482,Medical Equipment,Medical Gas,Other: medical gas O2 terminal leaking,Localised to room,RMG > RH > 8 > Ward 850,,2021-12-16 09:31:26,2021-12-16 09:31:59,2021-12-16 09:32:20,2021-12-16 09:32:38,2021-12-16 09:32:42,2021-12-16 11:09:11,ACA contractor replaced new oxygen terminal and o-rings,,2021-12-16 09:33:37,,,,,medical gas O2 terminal leaking-Shanmu-medium
,FID4477,Mechanical,BMS / BAS,Noisy,More than 1 room,RMG > RH > 10 > Ward 1060,,2021-12-16 00:36:22,2021-12-16 00:40:18,2021-12-16 10:24:03,2021-12-16 10:24:26,2021-12-16 10:24:49,2021-12-16 10:26:06,Adjusted room vav temperature setpoint in bms system make it cool,,,,,,,Room aircon stuffy-v.bala-low
